tweet_id;label;text
1000344534092537856;1;Am besten kippen wir die ganze deutsche Sprache, dann passiert sowas sicher nicht mehr. Leute, habt ihr euch mal überlegt, dass ihr dem braunen Müll durch eure Sprachforschung wieder ’ne Bühne gebt? PC ist meiner Meinung nach unschuldig. @randomuser123
1000634556972716032;1;Ihr habt doch auch nicht alle Schrauben locker am Zaun. Naja, man erkennt ja, wer hier den Hass streut.
1000763469942214656;1;"Echt jetzt, der Begriff ""Systemkritik"" soll jetzt auch noch Rechte/Rechtsradikale rechtfertigen? Da liefen Leute mit ""Warriors of Valhalla"" und einem Sonnenzeichen mit Runen auf ihren Shirts rum! @randomuser123"
1001112375376924678;1;Die nationalistische, völkische „Blut und Boden“-Rhetorik von der AfD. #Rassismus hat nix mit Systemkritik zu tun. Bitte nicht auf die rechte Umdeutung der sogenannten „Wortergreifungsstrategie“ von Rechtsradikalen/Rechtsextremen reinfallen! Danke! #VolkerW123 #NetzReconquista
1004068551458729991;1;JO will genau die Konservativen pushen, die aus den USA Kriege anzetteln, in GB den Brexit anstoßen und US-Waffengesetze (NRA) unterstützen. EU wird so gespalten, was der US-Wirtschaft zugutekommt. Unsere Gesellschaft ist genauso zerrissen wie in Amiland. Will das etwa Merkel? Rede mal, MERKEL. Schmeiß den Typen raus! FU @fakemention123
1004580111373434880;2;Vielleicht voll realistisch, oder?
1004968619644735490;0;Vielleicht sollten alle mal zusammenkommen und ne Lösung fürs Volk aushecken. Wäre echt mal was Frisches.
1004979081463697408;1;Wow – Spahn macht tatsächlich mal was IN SEINEM BEREICH?!? Hat der nix Besseres zu tun?
1005058197760208896;2;Und das, obwohl sie voll gegen so’n Untersuchungsausschuss sind, obwohl die meisten ihrer Fans dafür sind. Warum steigen die Zahlen?
1007525786591645698;2;Was haltet ihr davon, CDU und CSU getrennt zu betrachten, vor allem bei den aktuellen Debatten? #Union
1007713342222462978;1;Netter Versuch, die Aufmerksamkeit von Merkel wegzulenken. Der Typ hat ja nichts mehr zu verlieren. Warum steht er der alten Hex immer noch bei? Sie hat ihn ohne mit der Wimper zu zucken verarscht! @randomuser123
1008031339113844736;1;Guck mal, sogar @fremdentweet schmeißt bei dem untergehenden Schiff von der geliebten #Merkel hin. Wie fix man doch seine Prinzipien schmeißt! Der Weg wird anders, ist schon klar, nur ihr checkt das nicht! #achsenblick #Grenell #Kurz #Conte
1008056106571259904;0;Im letzten Jahrhundert war die ganze Welt empört über Kindesmissbrauch in der Kirche und heute regt sich immer noch jeder drüber auf!
1008768893832310785;1;Die Wirtschaft läuft super, aber kaum jemand profitiert wirklich davon. Traurig, dass sich gerade die Ärmsten ständig bekämpfen, anstatt gemeinsam gegen die eigentlichen Schuldigen vorzugehen: Politiker, die mehr auf die Großkonzerne achten als auf soziale Gerechtigkeit. @falscheskonto
1009714461039579136;2;Das haben die Alchimisten schon vor 500 Jahren versucht. Moment mal ...
1010816791558475776;2;Oh auf jeden! Und wie sehr! Zeit für mehr coole Pics und weniger #NEID... #Nbg - Der Wöhrder See... (nicht zu verwechseln mit dem Wörthersee) is ein Stausee mitten in Nürnberg.
1010986816256774144;1;Arme Türkei, jetzt haben se n mini Adolf am Start. So billig kann’s gar nich sein, dass ich da noch Urlaub mach. Echt schade für all die anständigen Leute.
1013333856492154880;1;Was genau wurde denn bei DEM GIPFEL entschieden? Nix. Gar nix? Doch, der Familiennachzug von 2900 Familien aus Griechenland nach Deutschland. @randomuser123
1013366468879282176;1;Die #FDP hat voll versagt, genau im wichtigsten Moment der letzten 12 Jahre, um endlich den Wechsel im Kanzleramt und das Beste fürs Land zu schaffen. @neueZeiten
1013618032743075840;1;Merkel soll weg....
1014084902973734912;1;Und die auch noch + @freierflug. Voll die Wackelpartei. Immer am Wendekreisen und sich nach dem Wind richtend. Keine eigene Meinung oder Haltung.
1017122418463330305;1;Zitat positive Asylentscheidungen: nur 0,7 Prozent. Der Großteil will nur freie Unterkunft und Verpflegung. Und die verachten uns für unsere Nachgiebigkeit. Und das kommt von meiner eigenen Erfahrung in der Flüchtlingshilfe. @fremdeHilfe123
1017335923468578816;2;Gäääähnnnn
1017413202856927232;1;"Private ""Seenotrettung"" durch NGO-Boote wird als moralisch zweifelhaft dargestellt? HER MIT DER AUSCHWITZKEULE!!! JETZT GLEICH!!! Gerade von dem Typen @randomuser ist das richtig heuchlerisch."
1017836605455982592;2;Haha!
1019205129742974977;1;"Eine private, vom Staat nicht anerkannte ""Seenotrettung"" hofft bei Schwierigkeiten auf Unterstützung vom Staat? @hafenretter hat bereits zugegeben, gegen behördliche Anordnungen zu verstoßen, die Rückkehr an die Küste zu erzwingen. Warum meinen die eigentlich, sie könnten selbst entscheiden?"
1019713613496537088;1;Nein zum Rechtsstaat. Dass die blaubraune Partei auf Willkür setzt, überrascht aber kaum. @fakeaccount123
1019838724870430720;2;Klar, nur ein ordentliches Grundeinkommen reicht NICHT aus, das merkt man ja bei einigen in eurem Team, obwohl ihr schon ein staatliches #Grundeinkommen habt. Eigentlich sogar ein bedingungsloses, also #BGE. Das Bewusstsein für Ungerechtigkeit muss halt mitwachsen. @neue_konto
1020925546149146624;1;Bannon zeigt sich wie ein Trapper, ein Pionier, Prophet, der wie in der „good old days“ Amerikas neue Wege aufmachen will. Aber eigentlich will er nur die Macht. Held der zerfallenen USA. Geht nur, weil die Bosse total versagen. Amerika kann sich nicht mehr ändern.
1021506881456680960;1;Hat Herr Hoeneß jemals auch nur ansatzweise maß gehalten? Das is voll sein Standard. Wenn du wissen willst, wie jemand wirklich drauf is, gib ihm Macht – hat sogar Abraham Lincoln gesagt.
1024001457648021505;2;Leg schonmal ein paar Shirts ins Gefrierfach.
1025121305132236807;1;17 % sind also happy mit der Gesundheits-, Renten- und Sozialpolitik von @fremder_account. Blöd nur, dass die rechte Truppe bei all den Themen noch nie was Sinnvolles eingebracht hat.
1025279700657156096;2;Wer hat das genehmigt?
1025580935213928448;1;Peanuts gegen die, die es gepackt haben und jetzt auf unsere Kosten leben.
1027822928929468416;2;"Die Russen und Chinesen haben das bereits. Wir stecken Kohle in ""Flüchtlinge"", andere dagegen in Wissenschaft und Technik."
1027956433923592193;2;"Eher ""Italiens Problem mit Migranten"". Wo waren eigentlich all die ""Nazis"" vor der Flüchtlingswelle 2015? Die gab's einfach nicht. Wer keine Antworten will, der findet halt auch keine. @randomUser123"
1029455728606633990;2;#Marketing**Regierungschefin #Schmidt quatscht beim #EUDialog in Jena mit Leuten aus der Stadt.
1030475557132283904;1;Cool, dass die Grünen hier so krass auf den Rechtsstaat bestehen. Dann kann jetzt endlich die konsequente Abschiebung von zigtausenden Ausreisepflichtigen losgehen. Jeden Tag paar ausgebuchte Flieger. Denn genau das gehört auch zum Rechtsstaat. @randomuser123
1031180688886771712;1;Der kluge Albert Einstein hat mal gesagt: „Zwei Sachen sind unendlich – das Weltall und die menschliche Dummheit. Beim Weltall bin ich mir aber noch nich so sicher.“ #Hadsch-i #Mekka oder Mokka? Ich nehm lieber Mokka! @randomUser123
1031282265362505731;0;Danke an Herrn Prof. Klimaforscher123 für die deutlichen Worte zum Thema Klimawandel!
1032869192788312064;0;Ich wohn auch hier und es nervt voll, wie die sächsischen Probleme immer klein geredet werden und wie viel Ignoranz in solchen Kommentaren steckt. @randomuser123
1033054517967900672;0;was soll eigentlich die Mittelschicht machen, die zu viel verdient für Wohngeld, aber zu wenig, um ne Eigentumswohnung zu kaufen und voll überteuerte Mieten zahlen muss? @randomuser123
1033685799236186113;2;Warte mal:
1034406913222606849;1;Hey! Echt jetzt? Dass Legida in Leipzig weggekommen ist, war doch auch in Sachsen! Also mal bitte nachdenken, bevor man nur Quatsch labert. Dieses ständige Vorverurteilen und Verallgemeinern hat Pegida erst stark gemacht. Und ProNRW? Waren die etwa auch Sachsen oder was?
1034700472404332545;1;Nächstenliebe gehört zu deinen Rechten, nicht zu deinen Pflichten. Checkst du den Unterschied zwischen Recht und Pflicht?
1035107893362741248;1;Hab ich da was übersehen, Herr Müller, Frau Schmitt? Im offiziellen Presseportal der Regierung gibt’s null Infos. Auch in Berlin Fehlanzeige. Eure (Re)Tweets sind einfach nur cringe und zum Fremdschämen...
1035576578678423552;1;Und die Nazis so: Jaja, linksextrem, voll das Mimimi. Entspannt euch mal mit eurer Links-Keule, is doch nur ne Meinung und absolutes Kleinkram! Außerdem voll missgecheckt und fehlinterpretiert! #Chemnitz #Sucks #noNazis @randomfakeuser
1036005897091403778;1;Wer is da überrascht? Der Typ würde wohl selbst eher zur AfD gehen .....
1036310222531440642;0;Und immer noch tut unser viel zu gut bezahlter #BND nix gegen die Lieferkette der Gummiboote. Selbst die „so investigativen“ Reporter greifen das Thema nicht auf. Übrigens find ich, dass Rettungsschiffe ohne Limit in Hamburg anlegen dürfen sollen.
1036705063505457158;1;Vielleicht glaubst du mal nich den ganzen rechte-pegida-afd-fake-news-weltverschwörungsquatsch!! Oh sorry, Reichsbürger hab ich wohl vergessen?
1036893792513798146;2;Kein Witz. Das hier ist die C&A Jogginghose aus dem Jahr 1992. Der Typ trägt die nur verkehrt rum. @randomuser123
1037272897226780672;2;"Der muss das ja sagen; klar weiß er auch, wohin die Umfragewerte der Union gehen. Rechtsextremismus is in Deutschland eigentlich kein großes Thema: Gibt kaum welche, und die sind weder organisiert, noch bekommen sie medialen Support oder staatliche Förderung. @fakeaccount123"
1037296456481366016;2;"Also, Google haut raus mit: ""Aber ich denk:"" - Dass ich jemals nochmal so 'nen Tag hab, wo ich mich wieder mit Latein beschäftige. Danke dir! @xyzfakeuser"
1037627292938321920;0;So läuft’s eben und so sind die halt... Als Chemnitzer find ich das mega peinlich... und auch das Verharmlosen nervt... 'n hetzender Mob und ne überforderte Bullencrew sind kein Spaß! Neue Aktion? Schönreden bringt auch nix... seit 1990 schon so @falsche_user456
1037733116562087936;1;Was passiert eigentlich, wenn Rechte andere Rechte beobachten?
1038047010388103169;1;Mord is n rechtlicher Begriff, den Herr Möller gern mal etwas schwammig verwendet.
1038106065538371586;0;"D landet im Arsch. Unser Bundespräsident bewirbt n Event, wo ""Deutschland verrecke"" gesungen wird. Und ne stellv. Bundestagspräsidentin marschiert bei Demos mit, wo genau der gleiche Spruch gerufen wird. @x_ander_fake"
1038466070967930881;1;Hä? Was soll denn diese Nachricht? Hatte echt jemand Zweifel, nur weil er die Fakten zu den Hetzjagden annimmt und nicht irgendeinen unbestätigten Kram glaubt? @falschername123
1039180226251640832;1;Anscheinend ham sie den ersten Tweet gar nich richtig gecheckt. Leute, die bei solchen Sprüchen mitmarschieren oder laut mitgröhlen, sind halt Nazis, das lässt sich nich schönreden.
1039373639391621122;1;Die Pfaffen merken, wie ihre Chancen davonschwimmen. Sind ja selbst aus der voodooecke. Da schützt man sich und Allah voll uneigennützig. Nur leiden jetzt Menschen und europa darunter. Greift den Kirchenstaat an! #wegmitmerkel #wegmitderunion #CDU @fakename123
1039456104151953409;1;Die kleine Grüngruppe will echt alle Afrikaner hierherholen !!!
1040617425430036482;1;Hey @PolitikGuru : Normalerweise bin ich voll bei dir, wenn’s um Ruhe und Besonnenheit in der Politik geht. Aber das hier geht echt gar nicht klar. Wenn du nicht sofort die Verfassung verteidigst, bist du meine Unterstützung los! Maaßen MUSS WEG!!!
1040945525766463488;1;Jakub! Vermummte Gruppe! Verfolgungsjagden im Wald!! Teilt das bitte!!! Macht was dagegen!!!! …
1040992577670066176;1;Neonazis am Start in 321...
1041403648486645763;2;Auch wenn Humanität unbegrenzt sein kann, gibt es trotzdem Grenzen beim Leistungsvermögen der einzelnen Länder. Das ist wie bei nem Rettungsboot: Klar, wäre super, wenn alle mit an Bord sind, aber wenn die Leute zusammen zu schwer sind und das Boot nicht mehr trägt, sinkt es eben (nach dem Archimedischen Prinzip).
