tweet_id;text;hate_score;year;counter_score
960158527582097408;Das ist so nicht richtig.;0.7379816830242171;2017;0.26201831697578293
837717128480444418;Man sollte die Drohungen von der ISIS Gruppe ernst nehmen, die könnten noch mehr IS Kämpfer einschleusen. @randomuser123;0.2997337248531197;2017;0.7002662751468802
1082375206319128576;Gerade gibt's in den USA eine Ausschreibung für die neue Air Force 1. Die alte basiert auf der Boeing 747-200. Es gibt voll viele Diskussionen über den Flieger und das Reserve-Flugzeug, das in Deutschland nicht gezeigt wird. Beispiel @xyz_fakenamen;0.1243183500318459;2017;0.8756816499681541
1013645930443235328;Horst los! Das Netz hat dein Angebot voll angenommen;0.3182001310772715;2017;0.6817998689227285
1031345564649172992;Und was jetzt? Müssen wir uns jetzt neben dem höheren Rentenalter auch noch auf längere Arbeitszeiten gefasst machen?;0.6717176751152136;2015;0.32828232488478637
1039382010345730049;Jetzt wird die deutsche Freiheit tatsächlich auch in Syrien geschützt?!? @randomuser123;0.7568069942480544;2015;0.24319300575194558
857950400510603264;Türken mit Wahlrecht sollen in der Türkei abstimmen. Ein Referendum über die Todesstrafe in Deutschland? NIEMALS! Weder pro noch contra. @falscher_account;0.4959022512452937;2017;0.5040977487547063
1035029936371838978;"Neue (alte) Taktik von @liberalcrew: Rechtsextremismus verurteilen, aber gleichzeitig deren Storys pushen. Lächerlicher Populismus! Aus #merkelmussweg wird hoffentlich bald ""FDP verschwindet!""";0.2281616971543684;2018;0.7718383028456316
1046453013416759297;Riesensachen gibt’s nur in der Türkei. Hierzulande reicht’s, wenn man die Wahrheit über die türkische Regierung sagt. Und zack, Lacher garantiert. #funny @randomuser123;0.3667837260068609;2015;0.6332162739931391
929335876102033409;Is ja logisch, die Grünen müssen rein, die Gelben sowieso, und Merkel (die Schwarzen) will einfach an der Macht bleiben. Das Volk zählt da gar nich mehr. @randomuser123;0.4809363011330585;2017;0.5190636988669415
1011327049611476994;Bleibt mal schön locker auf eurer Palme.;0.072890628388629;2018;0.927109371611371
